date,description,amount,type,payment_mode
2025-02-14,Swiggy,9803,debit,UPI
2025-01-25,Ola,9397,debit,UPI
2025-08-18,House Rent,10869,debit,UPI
2025-05-04,Movie,12307,debit,UPI
2025-03-06,Amazon,1523,debit,UPI
2025-05-09,Movie,16552,debit,UPI
2025-06-02,Prime,1669,debit,UPI
2025-04-15,House Rent,7690,debit,UPI
2025-04-08,Ola,8134,debit,UPI
2025-02-20,Game,19843,debit,UPI
2025-06-30,House Rent,14504,debit,UPI
2025-08-20,House Rent,11240,debit,UPI
2025-07-12,Uber,5393,debit,UPI
2025-01-04,Prime,17207,debit,UPI
2025-07-02,Zomato,2785,debit,UPI
2025-03-25,House Rent,9815,debit,UPI
2025-05-01,Movie,16123,debit,UPI
2025-08-19,Swiggy,14657,debit,UPI
2025-06-16,Prime,13575,debit,UPI
2025-07-29,Spotify,1201,debit,UPI
2025-06-13,Movie,9453,debit,UPI
2025-04-02,Netflix,3445,debit,UPI
2025-05-24,Amazon,4986,debit,UPI
2025-03-10,Stock,3245,debit,UPI
2025-01-15,Uber,6191,debit,UPI
2025-02-01,House Rent,11922,debit,UPI
2025-08-23,House Rent,3670,debit,UPI
2025-06-10,House Rent,10954,debit,UPI
2025-03-23,Mutual Fund,5550,debit,UPI
2025-09-07,Electricity,11211,debit,UPI
2025-03-30,Zomato,16924,debit,UPI
2025-03-03,Stock,8108,debit,UPI
2025-03-26,Netflix,1481,debit,UPI
2025-08-24,Ola,4532,debit,UPI
2025-02-28,Flipkart,3661,debit,UPI
2025-08-28,Zomato,7704,debit,UPI
2025-08-05,Movie,19899,debit,UPI
2025-01-14,Water,13058,debit,UPI
2025-02-25,Flipkart,6622,debit,UPI
2025-05-24,Amazon,19500,debit,UPI
2025-02-05,Stock,12773,debit,UPI
2025-02-20,Ola,3614,debit,UPI
2025-01-20,Uber,16621,debit,UPI
2025-01-21,House Rent,4026,debit,UPI
2025-03-25,House Rent,13693,debit,UPI
2025-05-25,Mutual Fund,17465,debit,UPI
2025-07-28,House Rent,13796,debit,UPI
2025-06-14,Electricity,15103,debit,UPI
2025-03-20,Zomato,18966,debit,UPI
2025-07-10,Ola,16504,debit,UPI
2025-07-01,Swiggy,15861,debit,UPI
2025-02-24,Stock,6027,credit,UPI
2025-03-17,Mutual Fund,18466,credit,UPI
2025-06-06,Swiggy,5614,debit,UPI
2025-02-01,Stock,14478,debit,UPI
2025-04-23,House Rent,18602,debit,UPI
2025-07-06,Zomato,6830,debit,UPI
2025-03-14,Electricity,8006,debit,UPI
2025-05-26,Mutual Fund,8063,debit,UPI
2025-04-19,House Rent,16760,debit,UPI
2025-04-11,Ola,2314,debit,UPI
2025-08-19,Stock,15761,credit,UPI
2025-08-18,House Rent,9191,debit,UPI
2025-06-07,Movie,18027,debit,UPI
2025-02-04,Zomato,7155,debit,UPI
2025-08-03,Water,10462,debit,UPI
2025-01-01,Spotify,16015,debit,UPI
2025-03-31,Stock,669,credit,UPI
2025-06-07,Stock,5005,debit,UPI
2025-01-05,Water,7892,debit,UPI
2025-08-26,Spotify,8915,debit,UPI
2025-01-20,Game,390,debit,UPI
2025-02-04,Zomato,16806,debit,UPI
2025-05-07,Water,8488,debit,UPI
2025-02-16,Ola,5188,debit,UPI
2025-06-05,Zomato,13038,debit,UPI
2025-03-11,Mutual Fund,16961,debit,UPI
2025-05-28,Game,299,debit,UPI
2025-06-06,Netflix,17945,debit,UPI
2025-09-02,House Rent,6530,debit,UPI
2025-08-13,Ola,16246,debit,UPI
2025-02-27,Swiggy,6043,debit,UPI
2025-02-26,Mutual Fund,12722,debit,UPI
2025-06-13,Game,4498,debit,UPI
2025-07-05,Prime,5794,debit,UPI
2025-08-17,Netflix,18523,debit,UPI
2025-05-12,Swiggy,3479,debit,UPI
2025-08-26,Mutual Fund,3064,debit,UPI
2025-07-08,Flipkart,12493,debit,UPI
2025-02-15,House Rent,5575,debit,UPI
2025-04-28,Uber,727,debit,UPI
2025-08-03,Netflix,19475,debit,UPI
2025-06-24,Spotify,12292,debit,UPI
2025-09-07,House Rent,4746,debit,UPI
2025-03-03,House Rent,14644,debit,UPI
2025-07-31,Flipkart,10506,debit,UPI
2025-06-29,House Rent,7918,debit,UPI
2025-09-05,Ola,10200,debit,UPI
2025-06-09,Uber,17161,debit,UPI
2025-09-01,Movie,6613,debit,UPI
2025-02-28,Netflix,19919,debit,UPI
2025-03-01,Amazon,16509,debit,UPI
2025-05-01,Game,9178,debit,UPI
2025-08-21,Movie,474,debit,UPI
2025-08-16,House Rent,2827,debit,UPI
2025-09-07,House Rent,15183,debit,UPI
2025-07-28,Spotify,827,debit,UPI
2025-04-12,House Rent,15160,debit,UPI
2025-01-08,Swiggy,17020,debit,UPI
2025-01-23,Ola,9204,debit,UPI
2025-05-16,Ola,12198,debit,UPI
2025-05-25,Game,18328,debit,UPI
2025-03-19,Game,15131,debit,UPI
2025-01-09,Stock,18746,credit,UPI
2025-01-08,Swiggy,16092,debit,UPI
2025-01-09,Swiggy,16288,debit,UPI
2025-08-07,Netflix,3782,debit,UPI
2025-02-11,Prime,2991,debit,UPI
2025-04-15,Swiggy,1336,debit,UPI
2025-06-10,Flipkart,7335,debit,UPI
2025-01-25,Ola,14739,debit,UPI
2025-04-23,Uber,9657,debit,UPI
2025-01-13,Movie,13892,debit,UPI
2025-07-01,Zomato,8274,debit,UPI
2025-08-09,Stock,176,credit,UPI
2025-01-31,Flipkart,18453,debit,UPI
2025-06-12,Uber,15744,debit,UPI
2025-01-26,Mutual Fund,2517,debit,UPI
2025-04-17,Stock,7260,debit,UPI
2025-03-11,Uber,5031,debit,UPI
2025-02-17,Amazon,17951,debit,UPI
2025-03-02,Netflix,3963,debit,UPI
2025-08-10,Zomato,11438,debit,UPI
2025-05-03,Movie,9523,debit,UPI
2025-08-15,House Rent,8218,debit,UPI
2025-03-20,Ola,7272,debit,UPI
2025-07-14,Amazon,19232,debit,UPI
2025-02-09,Uber,6675,debit,UPI
2025-08-24,Mutual Fund,4350,credit,UPI
2025-02-08,Ola,17200,debit,UPI
2025-03-07,Uber,5905,debit,UPI
2025-08-18,Movie,13833,debit,UPI
2025-01-22,Mutual Fund,6020,debit,UPI
2025-05-21,Uber,6129,debit,UPI
2025-06-02,Prime,15800,debit,UPI
2025-03-12,House Rent,6637,debit,UPI
2025-06-12,Stock,13081,credit,UPI
2025-06-06,Electricity,15439,debit,UPI
2025-06-16,Netflix,10943,debit,UPI
2025-05-30,House Rent,7051,debit,UPI
2025-09-04,Flipkart,1486,debit,UPI
2025-06-09,Spotify,7370,debit,UPI
2025-07-13,Electricity,16872,debit,UPI
2025-01-19,Swiggy,241,debit,UPI
2025-07-27,Movie,5539,debit,UPI
2025-01-28,Movie,5803,debit,UPI
2025-07-30,Ola,14506,debit,UPI
2025-04-28,Zomato,11183,debit,UPI
2025-03-24,Stock,7248,debit,UPI
2025-03-31,Swiggy,16389,debit,UPI
2025-07-09,Stock,19585,debit,UPI
2025-06-09,Zomato,12782,debit,UPI
2025-04-19,Spotify,14788,debit,UPI
2025-07-20,Mutual Fund,15737,debit,UPI
2025-03-30,Game,15602,debit,UPI
2025-04-06,Water,7209,debit,UPI
2025-08-14,Electricity,11636,debit,UPI
2025-02-24,Mutual Fund,5090,debit,UPI
2025-02-10,Electricity,11381,debit,UPI
2025-04-16,Water,2006,debit,UPI
2025-03-19,Swiggy,8806,debit,UPI
2025-03-16,House Rent,2480,debit,UPI
2025-03-20,Zomato,10605,debit,UPI
2025-07-12,Water,16782,debit,UPI
2025-06-29,Stock,16908,debit,UPI
2025-02-02,Electricity,2900,debit,UPI
2025-06-22,Uber,1134,debit,UPI
2025-03-12,Mutual Fund,15612,debit,UPI
2025-07-12,Spotify,2929,debit,UPI
2025-02-18,Zomato,12800,debit,UPI
2025-05-27,Water,12504,debit,UPI
2025-02-26,Netflix,6964,debit,UPI
2025-06-28,Electricity,12335,debit,UPI
2025-01-04,Ola,14992,debit,UPI
2025-06-19,Ola,7618,debit,UPI
2025-05-18,Flipkart,1496,debit,UPI
2025-08-22,Ola,5444,debit,UPI
2025-02-03,Netflix,11888,debit,UPI
2025-01-02,Flipkart,11646,debit,UPI
2025-07-25,House Rent,16778,debit,UPI
2025-06-23,Swiggy,2860,debit,UPI
2025-05-14,Game,12679,debit,UPI
2025-09-04,Stock,814,debit,UPI
2025-05-24,Prime,3340,debit,UPI
2025-03-06,Swiggy,8054,debit,UPI
2025-06-10,House Rent,3589,debit,UPI
2025-07-20,Movie,10522,debit,UPI
2025-08-04,Movie,19398,debit,UPI
2025-03-09,Mutual Fund,5729,debit,UPI
2025-06-28,Spotify,7064,debit,UPI
2025-02-20,Stock,18198,debit,UPI
2025-05-02,Movie,11245,debit,UPI
2025-07-29,Swiggy,632,debit,UPI
2025-07-21,House Rent,14330,debit,UPI
2025-05-30,House Rent,8330,debit,UPI
2025-02-12,House Rent,11610,debit,UPI
2025-01-16,Game,10465,debit,UPI
2025-02-21,Movie,9953,debit,UPI
2025-05-12,Prime,8137,debit,UPI
2025-05-22,Movie,5640,debit,UPI
2025-03-13,House Rent,9701,debit,UPI
2025-06-17,House Rent,2062,debit,UPI
2025-02-14,House Rent,3252,debit,UPI
2025-07-27,Amazon,5974,debit,UPI
2025-08-13,Uber,2823,debit,UPI
2025-05-02,Amazon,8571,debit,UPI
2025-06-23,House Rent,10390,debit,UPI
2025-06-26,Movie,14792,debit,UPI
2025-01-07,Swiggy,337,debit,UPI
2025-03-15,Movie,12874,debit,UPI
2025-03-22,House Rent,14500,debit,UPI
2025-02-20,Amazon,4869,debit,UPI
2025-02-26,Ola,2468,debit,UPI
2025-08-19,Mutual Fund,7569,credit,UPI
2025-08-07,Ola,6843,debit,UPI
2025-01-15,Uber,11463,debit,UPI
2025-02-15,Mutual Fund,3796,debit,UPI
2025-08-01,Ola,11053,debit,UPI
2025-09-05,Stock,7763,credit,UPI
2025-03-05,Amazon,10447,debit,UPI
2025-05-28,Swiggy,426,debit,UPI
2025-02-22,Zomato,2921,debit,UPI
2025-03-26,Uber,19178,debit,UPI
2025-06-15,Netflix,11990,debit,UPI
2025-04-30,House Rent,5561,debit,UPI
2025-01-27,Flipkart,16471,debit,UPI
2025-01-18,Ola,11063,debit,UPI
2025-05-27,Water,15399,debit,UPI
2025-03-11,House Rent,16207,debit,UPI
2025-07-13,Game,16014,debit,UPI
2025-06-14,Mutual Fund,7784,credit,UPI
2025-06-14,Flipkart,6595,debit,UPI
2025-01-11,Spotify,3432,debit,UPI
2025-02-26,Swiggy,10266,debit,UPI
2025-07-01,House Rent,18944,debit,UPI
2025-06-25,Flipkart,19118,debit,UPI
2025-03-21,Zomato,6314,debit,UPI
2025-01-29,Flipkart,18541,debit,UPI
2025-02-09,House Rent,19781,debit,UPI
2025-05-20,House Rent,544,debit,UPI
2025-01-25,Water,1230,debit,UPI
2025-02-04,Uber,8837,debit,UPI
2025-09-05,Flipkart,9614,debit,UPI
2025-06-14,House Rent,13892,debit,UPI
2025-02-01,Electricity,850,debit,UPI
2025-06-29,Electricity,2746,debit,UPI
2025-07-19,Swiggy,2360,debit,UPI
2025-03-27,Swiggy,17027,debit,UPI
2025-02-23,Water,19510,debit,UPI
2025-05-07,Water,6076,debit,UPI
2025-03-14,Amazon,2819,debit,UPI
2025-07-21,Stock,11507,debit,UPI
2025-05-04,House Rent,8005,debit,UPI
2025-06-20,Netflix,7010,debit,UPI
2025-06-25,House Rent,19807,debit,UPI
2025-03-07,Flipkart,683,debit,UPI
2025-06-22,Flipkart,1401,debit,UPI
2025-01-10,Prime,19300,debit,UPI
2025-06-17,Mutual Fund,19645,debit,UPI
2025-06-29,Mutual Fund,5596,debit,UPI
2025-07-03,Movie,8675,debit,UPI
2025-07-19,Movie,10072,debit,UPI
2025-03-25,Mutual Fund,11690,debit,UPI
2025-05-17,Zomato,5704,debit,UPI
2025-05-20,Stock,8585,credit,UPI
2025-07-23,House Rent,16502,debit,UPI
2025-05-20,Water,11906,debit,UPI
2025-05-02,Flipkart,14074,debit,UPI
2025-06-26,House Rent,2070,debit,UPI
2025-09-02,Amazon,7210,debit,UPI
2025-03-29,House Rent,19261,debit,UPI
2025-04-03,Amazon,19898,debit,UPI
2025-03-05,Stock,16415,debit,UPI
2025-01-29,Electricity,13525,debit,UPI
2025-06-27,House Rent,12100,debit,UPI
2025-03-18,Mutual Fund,11221,credit,UPI
2025-06-01,Zomato,11621,debit,UPI
2025-02-10,Uber,9919,debit,UPI
2025-07-26,Game,12220,debit,UPI
2025-04-16,Water,5512,debit,UPI
2025-04-05,Flipkart,8154,debit,UPI
2025-06-15,Ola,7594,debit,UPI
2025-03-02,Flipkart,17789,debit,UPI
2025-07-23,Game,8495,debit,UPI
2025-03-28,Swiggy,4324,debit,UPI
2025-03-27,Movie,460,debit,UPI
2025-05-19,Prime,10524,debit,UPI
2025-02-13,Zomato,2476,debit,UPI
2025-03-17,Game,11011,debit,UPI
2025-02-06,Mutual Fund,8832,debit,UPI
2025-03-01,Amazon,12832,debit,UPI
2025-05-28,Ola,11153,debit,UPI
2025-05-27,Flipkart,11281,debit,UPI
2025-02-23,Electricity,16701,debit,UPI
2025-02-16,Flipkart,14571,debit,UPI
2025-07-21,Electricity,13848,debit,UPI
2025-05-24,Uber,10290,debit,UPI
2025-02-04,Swiggy,3691,debit,UPI
2025-05-14,Prime,3969,debit,UPI
2025-03-11,House Rent,8078,debit,UPI
2025-05-31,Spotify,19340,debit,UPI
2025-06-14,Mutual Fund,19280,debit,UPI
2025-06-13,Netflix,2028,debit,UPI
2025-02-22,Netflix,535,debit,UPI
2025-06-19,Netflix,5391,debit,UPI
2025-05-04,Mutual Fund,413,debit,UPI
2025-05-25,House Rent,6894,debit,UPI
2025-09-06,Netflix,8388,debit,UPI
2025-09-05,Uber,18004,debit,UPI
2025-06-11,Game,19895,debit,UPI
2025-08-15,Mutual Fund,245,debit,UPI
2025-06-14,Swiggy,14866,debit,UPI
2025-04-15,Movie,10103,debit,UPI
2025-07-01,Flipkart,10552,debit,UPI
2025-02-26,Prime,16777,debit,UPI
2025-06-26,Zomato,15957,debit,UPI
2025-01-08,Ola,13765,debit,UPI
2025-06-24,Mutual Fund,18976,debit,UPI
2025-01-25,Game,16156,debit,UPI
2025-06-07,Electricity,11301,debit,UPI
2025-07-22,Ola,14422,debit,UPI
2025-01-04,Spotify,19960,debit,UPI
2025-02-05,Spotify,9701,debit,UPI
2025-07-21,Flipkart,3995,debit,UPI
2025-08-12,Movie,16771,debit,UPI
2025-09-02,Game,6517,debit,UPI
2025-05-15,Game,13292,debit,UPI
2025-03-23,House Rent,5674,debit,UPI
2025-05-29,Electricity,10380,debit,UPI
2025-07-27,Stock,12625,debit,UPI
2025-03-04,Ola,7449,debit,UPI
2025-07-26,Movie,12879,debit,UPI
2025-01-13,Spotify,15765,debit,UPI
2025-04-20,Stock,7149,credit,UPI
2025-05-24,House Rent,6616,debit,UPI
2025-05-02,Spotify,18577,debit,UPI
2025-06-26,Electricity,3569,debit,UPI
2025-02-20,House Rent,9737,debit,UPI
2025-06-14,Game,2057,debit,UPI
2025-01-09,Spotify,9246,debit,UPI
2025-01-15,Flipkart,6832,debit,UPI
2025-06-23,Zomato,10606,debit,UPI
2025-03-27,Amazon,12021,debit,UPI
2025-08-01,House Rent,5686,debit,UPI
2025-07-22,Movie,14354,debit,UPI
2025-02-13,Game,1494,debit,UPI
2025-03-15,Prime,9739,debit,UPI
2025-01-18,Zomato,2030,debit,UPI
2025-05-28,Movie,8318,debit,UPI
2025-07-12,Stock,9419,debit,UPI
2025-08-05,Zomato,19739,debit,UPI
2025-03-19,Netflix,5889,debit,UPI
2025-08-07,Movie,9689,debit,UPI
2025-07-21,Flipkart,7907,debit,UPI
2025-03-06,Electricity,15786,debit,UPI
2025-03-03,Swiggy,17713,debit,UPI
2025-03-27,Uber,5800,debit,UPI
2025-02-23,Stock,9065,debit,UPI
2025-05-19,Uber,18671,debit,UPI
2025-08-15,Uber,10236,debit,UPI
2025-01-15,Swiggy,7794,debit,UPI
2025-05-21,Stock,19177,debit,UPI
2025-04-12,Movie,1484,debit,UPI
2025-02-26,Ola,806,debit,UPI
2025-08-28,Stock,6250,debit,UPI
2025-01-31,House Rent,12165,debit,UPI
2025-01-14,Mutual Fund,1028,credit,UPI
2025-08-05,Netflix,15517,debit,UPI
2025-07-24,House Rent,2746,debit,UPI
2025-08-05,Movie,2395,debit,UPI
2025-05-28,Stock,5729,credit,UPI
2025-03-03,Water,17611,debit,UPI
2025-04-15,Zomato,475,debit,UPI
2025-03-27,House Rent,19167,debit,UPI
2025-04-17,Uber,13726,debit,UPI
2025-05-14,Swiggy,7979,debit,UPI
2025-03-08,Zomato,18573,debit,UPI
2025-03-14,Spotify,4229,debit,UPI
2025-02-12,House Rent,3615,debit,UPI
2025-05-31,House Rent,18764,debit,UPI
2025-09-03,Zomato,15374,debit,UPI
2025-02-19,Amazon,15811,debit,UPI
2025-05-13,Ola,10658,debit,UPI
2025-04-27,House Rent,2015,debit,UPI
2025-03-19,House Rent,1200,debit,UPI
2025-01-25,House Rent,8198,debit,UPI
2025-09-03,Uber,9531,debit,UPI
2025-03-12,Movie,5584,debit,UPI
2025-04-16,House Rent,424,debit,UPI
2025-07-09,House Rent,9709,debit,UPI
2025-03-27,Flipkart,13448,debit,UPI
2025-05-26,Electricity,15510,debit,UPI
2025-07-06,Swiggy,7417,debit,UPI
2025-09-01,Mutual Fund,5600,credit,UPI
2025-01-06,House Rent,13946,debit,UPI
2025-06-08,Electricity,946,debit,UPI
2025-04-24,House Rent,14020,debit,UPI
2025-02-20,Swiggy,7584,debit,UPI
2025-06-20,Game,17072,debit,UPI
2025-04-24,House Rent,18069,debit,UPI
2025-03-11,Water,4997,debit,UPI
2025-06-22,Ola,8864,debit,UPI
2025-05-18,Prime,14235,debit,UPI
2025-07-20,House Rent,831,debit,UPI
2025-06-24,Flipkart,7731,debit,UPI
2025-03-21,Ola,10909,debit,UPI
2025-01-12,Ola,12225,debit,UPI
2025-06-09,Prime,2668,debit,UPI
2025-03-17,Zomato,7601,debit,UPI
2025-06-22,Game,484,debit,UPI
2025-04-20,Spotify,15020,debit,UPI
2025-06-20,Flipkart,19240,debit,UPI
2025-08-09,Electricity,17544,debit,UPI
2025-02-24,Flipkart,11998,debit,UPI
2025-05-10,Movie,2780,debit,UPI
2025-08-11,Stock,11163,debit,UPI
2025-09-01,House Rent,5317,debit,UPI
2025-05-02,Amazon,16852,debit,UPI
2025-01-18,Movie,12228,debit,UPI
2025-08-11,Game,1155,debit,UPI
2025-08-30,Ola,6900,debit,UPI
2025-04-24,Spotify,5238,debit,UPI
2025-03-19,Flipkart,3251,debit,UPI
2025-05-30,House Rent,16552,debit,UPI
2025-05-23,Flipkart,10826,debit,UPI
2025-01-16,Electricity,15044,debit,UPI
2025-08-05,Ola,9081,debit,UPI
2025-06-24,Electricity,5260,debit,UPI
2025-08-20,Ola,8906,debit,UPI
2025-03-06,Game,16249,debit,UPI
2025-08-11,House Rent,15140,debit,UPI
2025-03-27,Mutual Fund,4433,debit,UPI
2025-08-27,Stock,5791,credit,UPI
2025-05-30,Movie,9082,debit,UPI
2025-07-16,Zomato,14594,debit,UPI
2025-01-15,Amazon,825,debit,UPI
2025-02-06,Flipkart,10577,debit,UPI
2025-06-19,Stock,17814,debit,UPI
2025-04-14,Stock,13146,debit,UPI
2025-06-03,House Rent,17673,debit,UPI
2025-07-04,House Rent,16226,debit,UPI
2025-04-26,Zomato,5946,debit,UPI
2025-04-25,Game,4485,debit,UPI
2025-02-20,Electricity,19605,debit,UPI
2025-07-06,Amazon,7591,debit,UPI
2025-03-11,Zomato,12499,debit,UPI
2025-06-09,Stock,2205,credit,UPI
2025-04-08,Amazon,5141,debit,UPI
2025-06-27,Electricity,17200,debit,UPI
2025-07-03,Prime,13115,debit,UPI
2025-05-20,Movie,4464,debit,UPI
2025-04-01,Amazon,18972,debit,UPI
2025-07-05,Swiggy,3962,debit,UPI
2025-05-17,Amazon,19093,debit,UPI
2025-05-03,Uber,17640,debit,UPI
2025-08-22,House Rent,2941,debit,UPI
2025-07-15,Netflix,13946,debit,UPI
2025-04-25,Flipkart,7347,debit,UPI
2025-03-12,Stock,11888,debit,UPI
2025-07-29,Game,8963,debit,UPI
2025-04-14,Mutual Fund,5380,debit,UPI
2025-06-26,House Rent,17846,debit,UPI
2025-04-06,Spotify,1855,debit,UPI
2025-06-17,Game,12936,debit,UPI
2025-01-26,Prime,9222,debit,UPI
2025-05-24,Electricity,9846,debit,UPI
2025-04-08,Uber,12610,debit,UPI
2025-02-01,Mutual Fund,9376,debit,UPI
2025-05-30,Movie,11893,debit,UPI
2025-01-20,House Rent,8899,debit,UPI
2025-05-30,Uber,18793,debit,UPI
2025-04-04,House Rent,15038,debit,UPI
2025-07-04,Zomato,7825,debit,UPI
2025-04-05,Amazon,15612,debit,UPI
2025-03-12,Zomato,19678,debit,UPI
2025-06-16,Amazon,14687,debit,UPI
2025-01-18,Amazon,1597,debit,UPI
2025-06-30,Movie,3084,debit,UPI
2025-05-11,Amazon,8785,debit,UPI
2025-05-19,Flipkart,6578,debit,UPI
2025-01-28,Uber,18387,debit,UPI
2025-07-29,Flipkart,17117,debit,UPI
2025-06-03,Movie,4728,debit,UPI
2025-04-08,House Rent,15678,debit,UPI
2025-07-16,Ola,14488,debit,UPI
2025-04-22,Flipkart,7388,debit,UPI
2025-02-19,House Rent,9596,debit,UPI
2025-06-16,Mutual Fund,7998,debit,UPI
2025-08-23,Spotify,14792,debit,UPI
2025-01-25,Stock,2583,debit,UPI
2025-09-06,Ola,1737,debit,UPI
2025-09-01,Swiggy,6854,debit,UPI
2025-02-17,House Rent,1409,debit,UPI
2025-03-25,Flipkart,8490,debit,UPI
2025-06-03,Water,10915,debit,UPI
2025-03-31,House Rent,19716,debit,UPI
2025-08-22,Ola,14416,debit,UPI
2025-01-31,House Rent,13436,debit,UPI
2025-04-17,Amazon,19984,debit,UPI
2025-02-20,Game,12156,debit,UPI
2025-05-22,Electricity,4106,debit,UPI
2025-02-09,Mutual Fund,4357,credit,UPI
2025-05-12,Uber,4642,debit,UPI
2025-01-29,Movie,19144,debit,UPI
2025-07-11,House Rent,588,debit,UPI
2025-04-17,Netflix,7039,debit,UPI
2025-08-17,Ola,14674,debit,UPI
2025-03-30,Prime,16272,debit,UPI
2025-02-17,Zomato,9571,debit,UPI
2025-01-23,Spotify,14550,debit,UPI
2025-06-16,Flipkart,9235,debit,UPI
2025-05-19,Electricity,18511,debit,UPI
2025-01-13,Swiggy,13930,debit,UPI
2025-01-10,Zomato,5701,debit,UPI
2025-01-08,Uber,2153,debit,UPI
2025-04-10,Flipkart,11282,debit,UPI
2025-03-11,Water,3916,debit,UPI
2025-02-15,Zomato,1056,debit,UPI
2025-05-26,Amazon,14071,debit,UPI
2025-05-19,Amazon,17634,debit,UPI
2025-06-19,Ola,19010,debit,UPI
2025-01-05,Game,13989,debit,UPI
2025-05-11,House Rent,13036,debit,UPI
2025-06-07,Netflix,1541,debit,UPI
2025-08-19,Game,3299,debit,UPI
2025-07-22,Ola,8901,debit,UPI
2025-03-21,Electricity,2556,debit,UPI
2025-03-15,Swiggy,16590,debit,UPI
2025-01-01,Flipkart,5065,debit,UPI
2025-07-02,Stock,16481,credit,UPI
2025-03-18,Zomato,17075,debit,UPI
2025-08-31,Flipkart,6572,debit,UPI
2025-03-17,Game,5224,debit,UPI
2025-04-29,Electricity,9609,debit,UPI
2025-06-15,House Rent,7243,debit,UPI
2025-06-22,Flipkart,19675,debit,UPI
2025-05-22,Prime,12097,debit,UPI
2025-09-03,Amazon,19221,debit,UPI
2025-08-09,Flipkart,13320,debit,UPI
2025-05-10,Ola,17267,debit,UPI
2025-07-12,Amazon,16499,debit,UPI
2025-07-16,Electricity,1275,debit,UPI
2025-01-26,Uber,16234,debit,UPI
2025-04-16,Game,10611,debit,UPI
2025-02-03,House Rent,9063,debit,UPI
2025-01-21,Netflix,7639,debit,UPI
2025-07-01,Stock,338,debit,UPI
2025-03-31,Mutual Fund,16612,debit,UPI
2025-05-02,Swiggy,13626,debit,UPI
2025-01-07,Netflix,3070,debit,UPI
2025-04-15,Swiggy,8630,debit,UPI
2025-02-10,Swiggy,4316,debit,UPI
2025-07-11,Movie,3147,debit,UPI
2025-05-10,Water,19778,debit,UPI
2025-06-22,Netflix,4452,debit,UPI
2025-03-11,Game,11584,debit,UPI
2025-07-07,Ola,17728,debit,UPI
2025-05-10,Electricity,521,debit,UPI
2025-03-16,Stock,12967,debit,UPI
2025-04-29,Zomato,5032,debit,UPI
2025-04-15,Mutual Fund,2261,debit,UPI
2025-01-29,Stock,13509,debit,UPI
2025-02-11,Game,18161,debit,UPI
2025-03-26,Ola,15510,debit,UPI
2025-06-02,Electricity,2661,debit,UPI
2025-08-08,Prime,19841,debit,UPI
2025-03-19,Uber,10753,debit,UPI
2025-05-14,Ola,19658,debit,UPI
2025-03-02,Zomato,331,debit,UPI
2025-02-14,Stock,15797,credit,UPI
2025-01-14,Electricity,13400,debit,UPI
2025-06-14,Ola,3623,debit,UPI
2025-05-20,Amazon,9207,debit,UPI
2025-08-02,House Rent,11041,debit,UPI
2025-01-20,Ola,11514,debit,UPI
2025-04-14,Amazon,4779,debit,UPI
2025-01-14,Water,14686,debit,UPI
2025-08-04,House Rent,445,debit,UPI
2025-05-28,Water,855,debit,UPI
2025-08-12,Ola,1124,debit,UPI
2025-06-22,Netflix,11157,debit,UPI
2025-05-22,Ola,4790,debit,UPI
2025-08-24,Prime,19814,debit,UPI
2025-01-29,House Rent,8687,debit,UPI
2025-06-30,Ola,15072,debit,UPI
2025-03-06,Uber,13839,debit,UPI
2025-07-24,House Rent,12665,debit,UPI
2025-01-28,Water,11591,debit,UPI
2025-03-19,Game,19288,debit,UPI
2025-07-11,Uber,12759,debit,UPI
2025-07-29,Electricity,13273,debit,UPI
2025-07-29,House Rent,13917,debit,UPI
2025-05-14,Movie,14420,debit,UPI
2025-07-01,Flipkart,16020,debit,UPI
2025-07-18,Movie,9081,debit,UPI
2025-05-18,Water,16487,debit,UPI
2025-01-28,House Rent,12772,debit,UPI
2025-06-03,Spotify,5751,debit,UPI
2025-02-15,Movie,2513,debit,UPI
2025-01-10,Ola,5259,debit,UPI
2025-01-25,Game,2354,debit,UPI
2025-03-14,Stock,2715,debit,UPI
2025-01-28,Movie,8183,debit,UPI
2025-05-02,Flipkart,899,debit,UPI
2025-01-09,Electricity,4495,debit,UPI
2025-09-04,Stock,12114,credit,UPI
2025-05-10,Movie,4081,debit,UPI
2025-04-09,Stock,4886,debit,UPI
2025-02-01,Zomato,4018,debit,UPI
2025-01-10,House Rent,1500,debit,UPI
2025-02-01,Flipkart,4128,debit,UPI
2025-07-08,Movie,18567,debit,UPI
2025-05-15,Movie,2489,debit,UPI
2025-04-28,Electricity,15894,debit,UPI
2025-05-26,Spotify,5555,debit,UPI
2025-02-09,Water,8251,debit,UPI
2025-01-04,Game,17658,debit,UPI
2025-07-04,Prime,8800,debit,UPI
2025-07-02,Netflix,3005,debit,UPI
2025-02-18,Swiggy,13913,debit,UPI
2025-01-06,Movie,4232,debit,UPI
2025-06-14,Netflix,10150,debit,UPI
2025-04-12,Game,5127,debit,UPI
2025-04-06,Prime,16230,debit,UPI
2025-05-25,Flipkart,8075,debit,UPI
2025-08-09,Flipkart,14202,debit,UPI
2025-06-23,Game,10563,debit,UPI
2025-09-07,Flipkart,1520,debit,UPI
2025-04-16,Mutual Fund,12181,debit,UPI
2025-03-28,Stock,10159,debit,UPI
2025-04-22,Ola,492,debit,UPI
2025-02-16,Movie,11199,debit,UPI
2025-07-08,Ola,14627,debit,UPI
